decade,profession,n,tag
Jan 1 1550,Humanities Related,8,1550s
Jan 1 1560,Humanities Related,6,1560s
Jan 1 1570,Humanities Related,4,1570s
Jan 1 1580,Humanities Related,7,1580s
Jan 1 1590,Humanities Related,4,1590s
Jan 1 1600,Humanities Related,11,1600s
Jan 1 1610,Humanities Related,8,1610s
Jan 1 1620,Humanities Related,7,1620s
Jan 1 1630,Humanities Related,7,1630s
Jan 1 1640,Humanities Related,18,1640s
Jan 1 1650,Humanities Related,7,1650s
Jan 1 1660,Humanities Related,2,1660s
Jan 1 1670,Humanities Related,4,1670s
Jan 1 1680,Humanities Related,7,1680s
Jan 1 1690,Humanities Related,4,1690s
Jan 1 1700,Humanities Related,8,1700s
Jan 1 1710,Humanities Related,15,1710s
Jan 1 1720,Humanities Related,2,1720s
Jan 1 1730,Humanities Related,5,1730s
Jan 1 1740,Humanities Related,13,1740s
Jan 1 1750,Humanities Related,18,1750s
Jan 1 1760,Humanities Related,10,1760s
Jan 1 1770,Humanities Related,4,1770s
Jan 1 1780,Humanities Related,10,1780s
Jan 1 1790,Humanities Related,12,1790s
Jan 1 1800,Humanities Related,17,1800s
Jan 1 1810,Humanities Related,19,1810s
Jan 1 1820,Humanities Related,26,1820s
Jan 1 1830,Humanities Related,26,1830s
Jan 1 1840,Humanities Related,18,1840s
Jan 1 1850,Humanities Related,22,1850s
Jan 1 1860,Humanities Related,36,1860s
Jan 1 1870,Humanities Related,44,1870s
Jan 1 1880,Humanities Related,48,1880s
Jan 1 1890,Humanities Related,35,1890s
Jan 1 1900,Humanities Related,51,1900s
Jan 1 1910,Humanities Related,67,1910s
Jan 1 1920,Humanities Related,62,1920s
Jan 1 1930,Humanities Related,72,1930s
Jan 1 1940,Humanities Related,96,1940s
Jan 1 1950,Humanities Related,58,1950s
Jan 1 1960,Humanities Related,35,1960s
Jan 1 1970,Humanities Related,7,1970s
Jan 1 1510,Other,2,1510s
Jan 1 1520,Other,7,1520s
Jan 1 1530,Other,1,1530s
Jan 1 1540,Other,6,1540s
Jan 1 1550,Other,6,1550s
Jan 1 1560,Other,4,1560s
Jan 1 1570,Other,3,1570s
Jan 1 1580,Other,5,1580s
Jan 1 1590,Other,5,1590s
Jan 1 1600,Other,6,1600s
Jan 1 1610,Other,4,1610s
Jan 1 1620,Other,7,1620s
Jan 1 1630,Other,3,1630s
Jan 1 1640,Other,6,1640s
Jan 1 1650,Other,7,1650s
Jan 1 1660,Other,2,1660s
Jan 1 1670,Other,2,1670s
Jan 1 1680,Other,1,1680s
Jan 1 1690,Other,4,1690s
Jan 1 1700,Other,10,1700s
Jan 1 1710,Other,8,1710s
Jan 1 1720,Other,1,1720s
Jan 1 1730,Other,14,1730s
Jan 1 1740,Other,8,1740s
Jan 1 1750,Other,11,1750s
Jan 1 1760,Other,8,1760s
Jan 1 1770,Other,14,1770s
Jan 1 1780,Other,14,1780s
Jan 1 1790,Other,15,1790s
Jan 1 1800,Other,14,1800s
Jan 1 1810,Other,9,1810s
Jan 1 1820,Other,12,1820s
Jan 1 1830,Other,31,1830s
Jan 1 1840,Other,18,1840s
Jan 1 1850,Other,30,1850s
Jan 1 1860,Other,29,1860s
Jan 1 1870,Other,28,1870s
Jan 1 1880,Other,33,1880s
Jan 1 1890,Other,30,1890s
Jan 1 1900,Other,46,1900s
Jan 1 1910,Other,60,1910s
Jan 1 1920,Other,54,1920s
Jan 1 1930,Other,59,1930s
Jan 1 1940,Other,81,1940s
Jan 1 1950,Other,55,1950s
Jan 1 1960,Other,42,1960s
Jan 1 1970,Other,19,1970s
