country,country_code,id,n,lat,lon,pop_2020,per_mil,2019_Economic_Freedom_Index,GDP_Billions_PPP,GDP_per_Capita_PPP,Continent,per_mil_class,per_mil_rounded
Eritrea,,232,0,15,39,3554797,0,38.9,9.4 ,1581,AF,0,0
Estonia,,233,6,59,26,1326693,4.52252,76.6,41.6 ,31750,EU,1 - 5,4.523
Eswatini,,748,0,-26.5,31.5,1162233,0,54.7,11.3 ,9884,AF,0,0
Ethiopia,,231,0,8,38,115434444,0,53.6,200.2 ,2161,AF,0,0
Falkland Islands (Malvinas),,238,0,-51.75,-59,3497,0,,N/A,N/A,SA,0,0
Faroe Islands,,234,0,62,-7,48896,0,,3,61325,EU,0,0
Fiji,,242,0,-18,175,897573,0,62.2,8.7 ,9777,OC,0,0
Finland,,246,28,64,26,5542237,5.05211,74.9,244.0 ,44333,EU,5-10,5.052
France,FRA,250,575,46,2,65298930,8.80566,63.8,2835.8 ,43761,EU,5-10,8.806
French Guiana,,254,0,4,-53,299958,0,,N/A,N/A,SA,0,0
French Polynesia,,258,0,-15,-140,281191,0,,N/A,N/A,OC,0,0
French Southern Territories,,260,0,-43,67,1,0,,N/A,N/A,AN,0,0
Gabon,,266,0,-1,11.75,2234448,0,56.3,36.7 ,19254,AF,0,0
Gambia,,270,0,13.4667,-16.5667,2427782,0,52.4,3.6 ,1713,AF,0,0
Georgia,,268,5,42,43.5,3987805,1.25382,75.9,39.7 ,10747,AS,1 - 5,1.254
Germany,GER,276,641,51,9,83830972,7.64634,73.5,4170.8 ,50425,EU,5-10,7.646
Ghana,,288,0,8,-2,31181428,0,57.5,133.7 ,4729,AF,0,0
Gibraltar,,292,0,36.1833,-5.3667,33689,0,,2.5 ,70000,EU,0,0
Greece,,300,14,39,22,10413936,1.34435,57.7,298.7 ,27737,EU,1 - 5,1.344
Greenland,,304,0,72,-40,56787,0,,1.8,37000,NA,0,0
Grenada,,308,0,12.1167,-61.6667,112614,0,,1.8,16604,NA,0,0
Guadeloupe,,312,0,16.25,-61.5833,400136,0,,10.3,25479,NA,0,0
Guam,,316,0,13.4667,144.7833,169031,0,,5.79,35600,OC,0,0
Guatemala,,320,0,15.5,-90.25,17971382,0,62.6,137.8 ,8145,NA,0,0
Guernsey,,831,0,49.5,-2.56,1,0,,5,70000,EU,0,0
Guinea,,324,0,11,-10,13191279,0,55.7,26.5 ,2041,AF,0,0
Guinea-Bissau,,624,0,12,-15,1975718,0,54,3.1 ,1845,AF,0,0
Guyana,,328,0,5,-59,787215,0,56.8,6.3 ,8161,SA,0,0
Haiti,,332,0,19,-72.4167,11426356,0,52.7,19.9 ,1815,NA,0,0
Heard Island and McDonald Islands,,334,0,-53.1,72.5167,1,0,,N/A,N/A,AN,0,0
Holy See (Vatican City State),,336,0,41.9,12.45,801,0,,N/A,N/A,EU,0,0
Honduras,,340,0,15,-86.5,9931333,0,60.2,46.2 ,5562,NA,0,0
"Hong Kong S.A.R., China",,344,1,22.25,114.1667,7507523,0.1332,90.2,454.9 ,61393,AS,0.1 - 1,0.133
Hungary,HUN,348,138,47,20,9655983,14.29166,65,289.0 ,29474,EU,>10,14.292
Iceland,,352,5,65,-18,341628,14.6358,77.1,17.6 ,51842,EU,>10,14.636
India,,356,126,20,77,1382345085,0.09115,55.2,9459.0 ,7183,AS,0 - 0.1,0.091
Indonesia,,360,1,-5,120,274021604,0.00365,65.8,3242.8 ,12377,AS,0 - 0.1,0.004
Iran,,364,20,32,53,84176929,0.23759,51.1,1644.7 ,20200,AS,0.1 - 1,0.238
Iraq,,368,0,33,44,40372771,0,N/A,658.8 ,16954,AS,0,0
Ireland,,372,58,53,-8,4947267,11.72364,80.5,357.2 ,75538,EU,>10,11.724
Isle of Man,,833,0,54.23,-4.55,85112,0,,7.43,84600,EU,0,0
Israel,ISR,376,102,31.5,34.75,8678517,11.75316,72.8,316.5 ,36340,AS,>10,11.753
Italy,,380,197,42.8333,12.8333,60446035,3.25911,62.2,2310.9 ,38140,EU,1 - 5,3.259
Jamaica,,388,0,18.25,-77.5,2963429,0,68.6,26.1 ,9163,NA,0,0
Japan,,392,108,36,138,126407422,0.85438,72.1,5428.8 ,42832,AS,0.1 - 1,0.854
Jersey,,832,0,49.21,-2.13,1,0,,6,60000,EU,0,0
Jordan,,400,0,31,36,10220604,0,66.5,89.1 ,12494,AS,0,0
